state,district_name,nces_id,corona,covid,n_links,links
Alabama,Hartselle City,0101730,TRUE,TRUE,2,"http://www.hartselletigers.org/domain/3024, http://www.hartselletigers.orghttps://www.hartselletigers.org/Domain/3024, http://www.hartselletigers.org/domain/3024, http://www.hartselletigers.orghttps://www.hartselletigers.org/Domain/3024"
Alabama,Henry County,0101740,TRUE,TRUE,2,"http://www.henrycountyboe.org../../site/default.aspx?PageType=3&DomainID=4&ModuleInstanceID=10&ViewID=6446EE88-D30C-497E-9316-3F8874B3E108&RenderLoc=0&FlexDataID=3298&PageID=1, http://www.henrycountyboe.org../../site/default.aspx?PageType=3&DomainID=4&ModuleInstanceID=10&ViewID=6446EE88-D30C-497E-9316-3F8874B3E108&RenderLoc=0&FlexDataID=3297&PageID=1, http://www.henrycountyboe.org../../site/default.aspx?PageType=3&DomainID=4&ModuleInstanceID=10&ViewID=6446EE88-D30C-497E-9316-3F8874B3E108&RenderLoc=0&FlexDataID=3298&PageID=1, http://www.henrycountyboe.org../../site/default.aspx?PageType=3&DomainID=4&ModuleInstanceID=10&ViewID=6446EE88-D30C-497E-9316-3F8874B3E108&RenderLoc=0&FlexDataID=3297&PageID=1"
Alabama,Homewood City,0101760,FALSE,TRUE,2,"http://www.homewood.k12.al.ushttps://www.homewood.k12.al.us/Page/4509, http://www.homewood.k12.al.ushttps://www.homewood.k12.al.us/Page/4509, http://www.homewood.k12.al.ushttps://www.homewood.k12.al.us/Page/4509, http://www.homewood.k12.al.ushttps://www.homewood.k12.al.us/Page/4509"
Alabama,Huntsville City,0101800,TRUE,FALSE,1,"http://www.huntsvillecityschools.org/newscenter/coronavirus-crisis-contingency-plan-updated-3-26-20, http://www.huntsvillecityschools.org/newscenter/coronavirus-crisis-contingency-plan-updated-3-27-20"
Alabama,Jefferson County,0101920,TRUE,TRUE,1,"http://www.jefcoed.com../../site/default.aspx?PageType=3&ModuleInstanceID=1321&ViewID=7b97f7ed-8e5e-4120-848f-a8b4987d588f&RenderLoc=0&FlexDataID=13052&PageID=1, http://www.jefcoed.com../../site/default.aspx?PageType=3&ModuleInstanceID=1321&ViewID=7b97f7ed-8e5e-4120-848f-a8b4987d588f&RenderLoc=0&FlexDataID=13052&PageID=1"
Alabama,Lauderdale County,0102010,TRUE,TRUE,3,"http://www.lcschools.org/Domain/1459, http://www.lcschools.org/site/Default.aspx?PageID=1729, http://www.lcschools.org/site/Default.aspx?PageID=1729, http://www.lcschools.org/Domain/1459, http://www.lcschools.org/site/Default.aspx?PageID=1729, http://www.lcschools.org/site/Default.aspx?PageID=1729"
Alabama,Lawrence County,0102040,TRUE,TRUE,3,"http://www.lawrenceal.org/domain/2428, http://www.lawrenceal.orghttps://www.lawrenceal.org/domain/2428, http://www.lawrenceal.orghttps://www.lawrenceal.org/domain/2428, http://www.lawrenceal.org/domain/2428, http://www.lawrenceal.orghttps://www.lawrenceal.org/domain/2428, http://www.lawrenceal.orghttps://www.lawrenceal.org/domain/2428"
Alabama,Lee County,0102070,TRUE,TRUE,2,"http://www.lee.k12.al.us/domain/3464, http://www.lee.k12.al.us/site/Default.aspx?PageID=10909, http://www.lee.k12.al.us/domain/3464, http://www.lee.k12.al.us/site/Default.aspx?PageID=10909"
Alabama,Limestone County,0102100,FALSE,TRUE,2,"http://www.lcsk12.orghttps://content.schoolinsites.com/api/documents/60ed551ae946473d97c11d2b6d80b06c.pdf, http://www.lcsk12.orghttps://content.schoolinsites.com/api/documents/6bc0dd1a0708454bb9236ebe06475a0b.pdf, http://www.lcsk12.orghttps://content.schoolinsites.com/api/documents/60ed551ae946473d97c11d2b6d80b06c.pdf, http://www.lcsk12.orghttps://content.schoolinsites.com/api/documents/6bc0dd1a0708454bb9236ebe06475a0b.pdf"
Alabama,Lowndes County,0102160,FALSE,TRUE,1,"http://www.lowndesboe.org/news/1165, http://www.lowndesboe.org/news/1165"
Alabama,Madison County,0102220,FALSE,TRUE,1,"http://www.mcssk12.org/page/11354, http://www.mcssk12.org/page/11354"
Alabama,Marion County,0102310,FALSE,TRUE,1,"http://www.mcbe.net/News/101, http://www.mcbe.net/News/101"
